loan_id,exception_type,severity,expected_reason,affected_field,expected_action
,missing_loan_id,CRITICAL,Missing Loan Id,loan_id,Review source data and correct the affected field(s)
,missing_loan_id,CRITICAL,Missing Loan Id,loan_id,Review source data and correct the affected field(s)
,missing_loan_id,CRITICAL,Missing Loan Id,loan_id,Review source data and correct the affected field(s)
,missing_loan_id,CRITICAL,Missing Loan Id,loan_id,Review source data and correct the affected field(s)
,missing_loan_id,CRITICAL,Missing Loan Id,loan_id,Review source data and correct the affected field(s)
,missing_loan_id,CRITICAL,Missing Loan Id,loan_id,Review source data and correct the affected field(s)
,missing_loan_id,CRITICAL,Missing Loan Id,loan_id,Review source data and correct the affected field(s)
,missing_loan_id,CRITICAL,Missing Loan Id,loan_id,Review source data and correct the affected field(s)
LN-00001,duplicate_loan_id,CRITICAL,Duplicate Loan Id,loan_id,Review source data and correct the affected field(s)
LN-00001,duplicate_loan_id,CRITICAL,Duplicate Loan Id,loan_id,Review source data and correct the affected field(s)
LN-00001,duplicate_loan_id,CRITICAL,Duplicate Loan Id,loan_id,Review source data and correct the affected field(s)
LN-00001,duplicate_loan_id,CRITICAL,Duplicate Loan Id,loan_id,Review source data and correct the affected field(s)
LN-00001,duplicate_loan_id,CRITICAL,Duplicate Loan Id,loan_id,Review source data and correct the affected field(s)
LN-00001,duplicate_loan_id,CRITICAL,Duplicate Loan Id,loan_id,Review source data and correct the affected field(s)
LN-00001,duplicate_loan_id,CRITICAL,Duplicate Loan Id,loan_id,Review source data and correct the affected field(s)
LN-00001,duplicate_loan_id,CRITICAL,Duplicate Loan Id,loan_id,Review source data and correct the affected field(s)
LN-00027,duplicate_combo,MEDIUM,Duplicate Combo,"borrower_id,original_principal,origination_date",Review source data and correct the affected field(s)
LN-00028,duplicate_combo,MEDIUM,Duplicate Combo,"borrower_id,original_principal,origination_date",Review source data and correct the affected field(s)
LN-00029,duplicate_combo,MEDIUM,Duplicate Combo,"borrower_id,original_principal,origination_date",Review source data and correct the affected field(s)
LN-00030,duplicate_combo,MEDIUM,Duplicate Combo,"borrower_id,original_principal,origination_date",Review source data and correct the affected field(s)
LN-00031,duplicate_combo,MEDIUM,Duplicate Combo,"borrower_id,original_principal,origination_date",Review source data and correct the affected field(s)
LN-00032,duplicate_combo,MEDIUM,Duplicate Combo,"borrower_id,original_principal,origination_date",Review source data and correct the affected field(s)
LN-00033,duplicate_combo,MEDIUM,Duplicate Combo,"borrower_id,original_principal,origination_date",Review source data and correct the affected field(s)
LN-00034,duplicate_combo,MEDIUM,Duplicate Combo,"borrower_id,original_principal,origination_date",Review source data and correct the affected field(s)
LN-00035,invalid_date,HIGH,Invalid Date,origination_date,Review source data and correct the affected field(s)
LN-00036,invalid_date,HIGH,Invalid Date,origination_date,Review source data and correct the affected field(s)
LN-00037,invalid_date,HIGH,Invalid Date,origination_date,Review source data and correct the affected field(s)
LN-00038,invalid_date,HIGH,Invalid Date,origination_date,Review source data and correct the affected field(s)
LN-00039,invalid_date,HIGH,Invalid Date,origination_date,Review source data and correct the affected field(s)
LN-00040,invalid_date,HIGH,Invalid Date,origination_date,Review source data and correct the affected field(s)
LN-00041,invalid_date,HIGH,Invalid Date,origination_date,Review source data and correct the affected field(s)
LN-00042,invalid_date,HIGH,Invalid Date,origination_date,Review source data and correct the affected field(s)
LN-00043,maturity_before_origination,HIGH,Maturity Before Origination,maturity_date,Review source data and correct the affected field(s)
LN-00044,maturity_before_origination,HIGH,Maturity Before Origination,maturity_date,Review source data and correct the affected field(s)
LN-00045,maturity_before_origination,HIGH,Maturity Before Origination,maturity_date,Review source data and correct the affected field(s)
LN-00046,maturity_before_origination,HIGH,Maturity Before Origination,maturity_date,Review source data and correct the affected field(s)
LN-00047,maturity_before_origination,HIGH,Maturity Before Origination,maturity_date,Review source data and correct the affected field(s)
LN-00048,maturity_before_origination,HIGH,Maturity Before Origination,maturity_date,Review source data and correct the affected field(s)
LN-00049,maturity_before_origination,HIGH,Maturity Before Origination,maturity_date,Review source data and correct the affected field(s)
LN-00050,maturity_before_origination,HIGH,Maturity Before Origination,maturity_date,Review source data and correct the affected field(s)
LN-00051,negative_principal,CRITICAL,Negative Principal,original_principal,Review source data and correct the affected field(s)
LN-00052,negative_principal,CRITICAL,Negative Principal,original_principal,Review source data and correct the affected field(s)
LN-00053,negative_principal,CRITICAL,Negative Principal,original_principal,Review source data and correct the affected field(s)
LN-00054,negative_principal,CRITICAL,Negative Principal,original_principal,Review source data and correct the affected field(s)
LN-00055,negative_principal,CRITICAL,Negative Principal,original_principal,Review source data and correct the affected field(s)
LN-00056,negative_principal,CRITICAL,Negative Principal,original_principal,Review source data and correct the affected field(s)
LN-00057,negative_principal,CRITICAL,Negative Principal,original_principal,Review source data and correct the affected field(s)
LN-00058,negative_principal,CRITICAL,Negative Principal,original_principal,Review source data and correct the affected field(s)
LN-00059,negative_balance,CRITICAL,Negative Balance,current_balance,Review source data and correct the affected field(s)
LN-00060,negative_balance,CRITICAL,Negative Balance,current_balance,Review source data and correct the affected field(s)
